	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3
OTU_1422	0	0	3	1	0	1	2	0	0	1	0	0	0	0	0	3	3	2
OTU_174	18	29	12	11	17	15	28	43	68	15	20	1	23	13	28	13	21	24
OTU_238	17	26	12	2	5	3	3	19	10	4	9	2	20	18	26	13	11	5
OTU_281	15	23	14	25	16	26	17	9	30	36	24	11	17	15	10	24	31	28
OTU_295	4	2	4	38	20	45	16	8	11	27	22	11	2	6	3	22	24	25
OTU_319	5	36	19	8	2	3	6	29	14	8	14	3	38	18	42	21	18	15
OTU_372	11	28	8	16	33	19	12	20	31	29	29	5	12	13	21	22	21	25
OTU_378	53	123	43	5	8	9	21	55	49	13	19	7	73	37	81	15	16	20
OTU_380	4	1	3	11	6	18	6	10	10	9	21	5	7	9	6	12	12	15
OTU_384	4	4	1	21	24	14	2	11	4	27	20	14	3	2	3	18	10	14
OTU_509	10	30	7	3	5	6	6	27	15	8	5	1	9	9	13	5	3	4
OTU_672	9	5	4	3	1	3	12	4	8	2	6	3	13	7	5	7	7	9
OTU_855	6	15	6	14	11	3	13	19	26	15	18	3	8	10	12	2	13	8
OTU_649	3	4	1	7	5	5	4	2	0	7	6	9	5	2	1	9	3	9
OTU_2510	4	18	11	1	2	0	2	3	2	9	2	0	10	10	14	4	2	2
OTU_2817	1	5	1	3	10	1	7	6	6	2	1	0	1	0	4	1	1	3
OTU_387	0	1	1	20	15	11	3	0	3	18	11	2	1	5	3	16	13	15
OTU_452	5	17	7	3	3	0	3	7	10	1	4	0	9	5	22	9	8	11
OTU_554	0	1	0	6	9	9	4	1	2	8	5	4	3	1	3	6	9	5
OTU_535	0	2	1	3	7	4	2	2	2	1	8	0	1	0	2	5	3	10
OTU_912	0	2	0	1	3	2	0	3	1	4	1	1	7	3	1	1	1	1
OTU_976	3	5	2	2	2	0	0	2	1	1	4	0	10	2	7	1	1	3
OTU_785	1	0	1	21	10	14	0	2	2	21	9	11	0	2	0	22	22	16
OTU_875	1	3	0	2	1	0	0	2	1	2	1	0	4	2	2	1	4	5
OTU_1709	1	3	2	3	0	0	2	7	4	1	2	2	0	1	1	0	0	1
OTU_642	1	10	3	0	0	0	1	7	6	1	4	0	9	9	13	0	1	2
OTU_1306	2	3	1	0	0	1	2	1	6	2	0	0	6	0	2	2	0	2
OTU_2653	0	1	0	1	0	0	2	0	0	1	1	1	2	1	8	1	3	6
OTU_968	1	0	0	5	0	2	2	3	0	3	3	1	0	1	0	2	1	2
OTU_1456	1	4	1	1	0	0	0	3	1	1	0	0	0	2	0	1	3	1
OTU_1342	1	4	0	1	0	0	1	3	4	0	0	0	4	1	3	2	0	0
OTU_1927	1	1	1	0	0	0	0	1	1	0	1	0	2	2	5	0	1	0
OTU_1669	1	0	0	0	0	0	0	0	4	3	0	1	3	0	1	3	1	1
OTU_1786	0	0	0	2	2	1	4	0	0	0	0	0	0	1	1	2	1	0
OTU_1920	2	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0
OTU_1526	0	0	0	0	1	0	5	0	1	1	0	0	3	0	0	0	0	1
OTU_2204	1	1	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0
OTU_2225	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	1	0	1
OTU_1903	0	1	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0
OTU_2144	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
OTU_2229	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	1	0	0
OTU_2250	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	5	0
OTU_3527	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0
OTU_3661	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
OTU_1931	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0
OTU_2439	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
OTU_3454	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0
OTU_3632	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0
OTU_2001	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_2766	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0
OTU_2809	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_678	1	3	0	2	2	0	1	0	4	2	3	1	1	8	3	10	4	9
OTU_3566	3	1	0	2	0	3	0	0	2	6	2	2	4	2	0	4	21	14
OTU_2028	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	1	2	2
OTU_100	9	11	15	120	99	144	20	17	16	117	91	24	3	9	12	72	90	95
OTU_131	32	27	17	122	90	109	53	54	58	144	88	37	33	40	37	100	134	125
OTU_435	17	12	6	11	7	15	8	9	10	27	11	7	3	12	8	21	16	16
OTU_526	1	1	5	9	20	29	5	13	9	16	15	2	1	5	1	17	16	8
OTU_1341	0	1	0	7	8	4	4	5	5	4	6	1	11	7	7	11	12	10
OTU_413	0	1	1	16	18	22	3	1	5	19	13	6	1	2	0	15	21	14
OTU_1058	2	7	0	17	18	13	2	2	4	12	10	6	1	0	0	4	3	11
OTU_992	0	0	1	6	2	7	0	1	0	5	6	2	0	0	0	8	4	3
OTU_1497	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	4
