	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3
OTU_1442	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	2	3	0
OTU_2726	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	2
OTU_3314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2
OTU_2111	1	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0
OTU_2695	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
OTU_2966	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0
OTU_2004	0	1	1	0	0	0	1	0	0	0	1	1	0	0	1	3	1	2
OTU_1204	1	0	0	0	0	0	0	0	0	1	0	1	0	1	2	3	4	3
OTU_1708	0	2	0	1	0	0	0	0	0	3	1	0	0	0	1	3	0	4
OTU_10	462	591	288	78	91	79	281	346	534	217	208	52	389	348	450	245	213	219
OTU_1245	459	721	383	180	249	104	501	913	1183	422	401	94	668	634	794	450	389	272
OTU_5	1122	1778	786	406	532	298	1261	2212	2637	686	719	204	857	784	1108	525	452	469
OTU_8	673	928	387	159	187	186	347	646	838	343	408	116	598	462	612	434	430	349
OTU_2869	2	2	1	1	1	0	5	5	4	0	0	0	3	1	0	0	0	1
OTU_2312	0	1	0	0	0	0	0	4	2	0	1	0	1	3	0	0	1	1
OTU_2513	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	1	0
OTU_1989	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0
OTU_2805	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2182	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_2587	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_3545	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_3574	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
OTU_313	8	9	3	13	6	9	7	14	3	14	7	8	8	4	3	11	8	12
OTU_445	9	9	10	1	3	1	6	6	5	7	2	1	6	13	15	3	5	6
OTU_534	3	1	3	4	1	8	9	6	4	8	7	1	2	2	5	4	7	4
OTU_308	5	5	6	8	3	5	3	4	0	14	5	8	32	27	23	13	14	18
OTU_725	21	3	9	7	2	10	7	1	5	3	4	0	5	6	3	4	8	7
OTU_1059	0	3	3	2	1	1	1	0	5	2	3	0	1	2	1	3	1	4
OTU_657	4	3	4	0	0	3	9	2	7	0	1	0	1	5	2	3	2	4
OTU_1214	2	0	1	2	0	2	2	0	1	4	1	0	0	2	2	1	3	4
OTU_753	3	5	5	2	0	0	3	4	0	3	1	0	1	4	1	0	5	3
OTU_831	0	0	0	1	2	0	1	4	10	4	6	0	0	1	1	2	1	1
OTU_3854	1	0	0	1	0	1	0	2	0	1	0	2	0	4	1	0	1	0
OTU_1766	1	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
OTU_1986	0	2	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0
OTU_2565	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1
OTU_2994	2	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
OTU_2307	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
OTU_1562	0	1	0	2	8	2	4	5	4	2	2	1	0	0	0	1	2	2
OTU_1537	0	0	0	1	0	1	0	3	3	1	3	0	0	1	0	1	2	0
OTU_3719	0	0	0	3	1	1	0	0	0	2	6	0	0	0	0	2	0	2
OTU_3006	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	1
OTU_2911	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_1031	21	19	11	15	11	6	11	7	21	19	13	7	16	13	19	28	26	17
OTU_127	27	32	11	26	28	26	23	35	28	43	36	15	37	23	23	51	61	57
OTU_136	198	265	114	78	67	82	102	129	159	178	142	57	307	261	375	129	153	158
OTU_153	10	10	3	48	42	50	23	33	42	65	50	17	16	15	16	62	60	48
OTU_186	15	27	11	8	4	4	8	9	8	27	21	11	9	17	14	23	24	39
OTU_1893	4	5	1	5	4	6	2	4	2	2	6	1	8	8	2	12	5	8
OTU_1908	62	113	50	35	29	31	74	91	99	67	50	20	92	64	104	41	41	54
OTU_195	20	12	12	7	9	4	29	16	25	19	17	7	20	25	17	30	24	20
OTU_2040	17	21	6	20	11	18	26	19	36	42	22	4	20	35	24	43	25	28
OTU_2064	8	7	1	12	14	6	5	3	5	38	29	12	11	20	23	47	39	70
OTU_282	12	19	11	3	3	3	3	1	1	4	5	2	24	14	47	4	8	2
OTU_33	206	297	129	79	54	92	158	187	235	185	169	49	147	197	198	179	217	199
OTU_358	3	15	5	8	6	4	1	5	4	26	12	6	42	46	42	12	22	16
OTU_44	133	130	82	27	26	33	89	65	90	83	79	33	105	95	103	71	78	105
OTU_49	99	146	69	28	29	56	117	117	137	77	68	34	74	107	116	57	64	59
OTU_559	5	13	15	5	11	11	9	6	10	33	23	11	12	14	11	27	39	33
OTU_682	8	10	6	3	2	2	3	1	3	7	5	1	6	7	17	4	7	6
OTU_88	88	186	69	24	42	47	34	85	44	64	77	24	183	133	211	68	62	79
OTU_3435	4	2	1	3	2	3	1	2	10	5	4	1	1	0	3	1	4	1
OTU_485	7	14	6	2	3	5	4	4	2	5	2	0	3	7	3	8	6	4
OTU_879	7	9	2	0	3	0	5	4	5	5	6	2	6	3	9	10	12	13
OTU_859	4	1	2	2	2	2	0	0	0	4	3	2	1	3	1	4	2	7
OTU_655	7	3	4	0	0	1	3	0	3	10	3	1	4	4	3	2	2	0
OTU_1123	4	1	3	0	3	1	3	2	3	1	0	0	0	0	3	4	1	1
OTU_1102	2	1	0	0	0	3	0	1	0	1	1	2	1	0	3	11	7	7
OTU_942	1	3	2	0	0	0	1	0	2	4	5	1	1	0	0	8	4	1
OTU_1973	0	0	0	3	0	1	0	0	0	3	4	0	1	1	0	7	2	1
OTU_3589	0	1	0	0	2	0	0	0	0	3	0	2	0	1	1	4	3	2
OTU_3610	0	3	2	0	2	1	0	0	0	2	0	0	0	0	1	3	3	3
OTU_3651	0	1	0	1	0	1	1	0	0	2	2	0	2	0	0	1	0	2
OTU_1727	4	0	0	0	0	1	0	0	1	3	0	1	0	0	0	4	2	1
OTU_2927	0	2	0	0	0	0	2	0	1	0	0	0	0	1	0	2	1	1
OTU_2091	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0
OTU_2618	0	0	0	2	0	0	0	2	0	0	0	0	2	1	0	1	0	1
OTU_1377	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	3	2	2
OTU_1388	0	3	2	0	0	0	0	2	8	0	0	0	0	0	3	0	0	0
OTU_3979	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	1
OTU_3289	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
OTU_3634	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
OTU_4004	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
OTU_3271	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_398	9	11	6	6	1	6	13	7	17	6	3	4	4	5	6	3	8	6
OTU_1439	2	1	0	0	0	1	0	2	1	2	1	2	3	4	5	2	2	1
OTU_3120	2	0	3	0	0	0	0	1	1	0	0	0	1	0	0	1	2	0
OTU_1007	15	11	4	9	1	5	17	15	12	9	2	1	7	13	6	9	9	12
OTU_112	103	99	44	59	68	42	53	72	97	134	100	37	128	106	149	162	166	116
OTU_120	70	57	40	24	12	14	38	60	52	15	26	11	31	31	33	24	28	23
OTU_132	58	78	45	19	11	21	24	29	23	35	42	10	48	27	57	56	50	35
OTU_161	85	48	45	48	18	40	67	41	62	104	50	30	57	94	66	127	142	144
OTU_21	178	141	125	108	72	84	122	128	135	199	99	67	157	153	163	279	258	193
OTU_215	37	30	31	22	12	23	32	15	34	41	15	6	31	34	38	28	30	32
OTU_224	54	44	26	7	3	13	35	30	32	37	11	3	26	20	26	34	33	26
OTU_2487	196	328	152	30	32	32	47	49	71	56	47	19	282	203	305	69	64	73
OTU_3021	29	30	16	33	23	19	9	7	14	48	31	10	22	23	45	19	28	29
OTU_311	59	58	34	15	21	23	31	55	47	43	26	14	52	56	58	37	30	29
OTU_35	378	487	254	83	75	100	549	538	918	118	133	40	299	204	257	132	132	140
OTU_428	66	65	37	18	18	23	49	43	48	27	19	12	49	47	43	17	22	14
OTU_556	18	17	15	7	1	2	17	21	23	4	6	5	10	11	11	9	10	7
OTU_762	39	32	31	7	21	12	27	32	43	19	24	10	41	30	47	48	32	23
OTU_3004	15	15	9	1	0	2	4	5	8	16	7	2	16	14	5	19	6	11
OTU_315	9	8	2	16	13	22	10	13	19	11	6	4	1	0	4	10	7	12
OTU_3228	2	1	1	3	0	3	3	1	2	5	1	1	2	3	1	4	4	2
OTU_635	7	6	2	2	0	1	1	4	8	6	2	4	8	11	16	10	7	5
OTU_1110	7	2	1	3	2	0	2	6	2	4	4	0	3	2	5	5	4	3
OTU_1182	6	5	1	2	1	0	3	1	1	3	2	1	2	4	3	1	1	0
OTU_2437	12	7	8	0	1	1	21	7	12	0	1	2	7	8	5	6	6	1
OTU_634	2	6	1	4	4	4	6	4	11	3	2	1	0	1	0	4	1	2
OTU_733	7	7	4	3	0	0	10	1	1	6	1	2	7	3	3	3	9	2
OTU_2441	4	1	5	0	1	1	1	1	0	1	0	1	1	5	2	2	1	4
OTU_555	12	14	6	2	0	1	9	31	20	4	2	0	4	6	8	4	0	7
OTU_2359	1	3	0	0	1	4	5	1	0	1	2	1	0	1	2	7	10	4
OTU_1238	1	0	1	1	0	0	1	0	2	3	7	0	2	2	6	9	11	4
OTU_769	0	7	0	2	7	7	2	3	2	7	1	3	0	1	0	0	6	4
OTU_790	5	5	3	1	0	0	1	3	3	3	0	0	5	2	8	2	7	0
OTU_2205	0	2	1	1	0	0	0	0	1	2	0	1	2	3	8	3	0	1
OTU_1693	2	1	1	0	0	0	2	5	1	1	0	0	4	0	0	2	1	0
OTU_1001	0	0	0	6	4	3	0	0	1	4	0	1	0	0	0	1	2	5
OTU_1475	1	0	0	0	0	0	0	0	1	0	5	1	7	4	4	0	1	1
OTU_1568	1	1	3	0	0	0	4	0	4	0	0	0	0	1	0	1	3	1
OTU_3776	1	5	0	0	0	2	1	3	2	1	0	0	2	0	0	1	0	0
OTU_1576	0	0	0	0	0	0	0	2	0	1	1	0	1	0	3	0	1	1
OTU_2118	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	2	3	3
OTU_2734	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0
OTU_3412	0	0	0	0	0	0	0	3	1	0	0	0	1	1	1	0	0	0
OTU_3474	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1
OTU_2504	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
OTU_2933	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1
OTU_3361	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
OTU_2017	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
OTU_4054	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU_144	152	65	85	78	38	62	118	65	85	153	36	44	65	85	74	109	110	96
OTU_414	18	13	11	11	10	7	12	6	8	27	7	8	13	14	11	12	14	10
OTU_783	4	8	6	1	1	4	6	4	6	4	3	1	5	12	5	3	4	6
OTU_679	3	5	1	6	5	4	2	6	3	2	0	2	16	7	10	4	14	7
OTU_3019	1	0	0	5	4	2	3	2	3	2	1	1	1	0	1	2	4	6
OTU_1068	3	1	3	0	1	0	0	0	1	3	2	1	5	4	4	7	3	1
OTU_1121	2	0	4	0	1	5	0	1	2	1	0	0	4	1	2	1	3	0
OTU_2761	0	1	0	0	1	4	5	7	0	1	5	0	1	0	2	2	2	3
OTU_986	1	1	0	0	0	0	0	0	0	0	1	1	4	3	4	0	0	0
OTU_2822	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
OTU_3685	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3770	0	0	0	2	0	1	3	0	0	1	0	0	0	0	0	2	0	1
OTU_203	71	81	62	7	8	10	73	100	83	24	20	6	37	25	43	11	15	14
OTU_259	25	17	22	20	7	25	19	5	9	43	8	10	21	24	21	45	30	33
OTU_3106	12	7	10	7	2	12	12	4	7	7	9	5	7	8	7	11	10	10
OTU_50	266	116	168	98	24	81	168	83	117	226	63	71	111	156	123	176	163	165
OTU_807	16	28	15	5	9	6	14	26	20	6	8	3	29	10	28	12	10	6
OTU_2793	4	10	1	1	2	0	6	9	3	2	6	3	5	5	5	6	1	3
OTU_1345	0	2	0	2	1	1	1	0	1	1	0	0	0	0	0	1	2	0
OTU_1367	0	0	0	1	3	3	0	0	0	2	3	1	0	0	0	2	2	1
OTU_3269	0	0	2	0	0	0	0	3	0	0	0	0	1	0	2	0	2	0
OTU_1852	0	1	0	0	0	0	0	0	0	0	0	0	5	4	2	0	0	0
OTU_3253	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
OTU_3856	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1037	7	6	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_1253	29	36	19	11	13	17	43	23	33	48	23	7	11	25	23	28	27	32
OTU_1564	8	5	6	3	2	6	15	6	4	6	1	2	2	4	1	9	10	8
OTU_16	448	334	310	214	129	184	412	258	356	393	157	123	196	247	191	256	320	263
OTU_2904	29	26	28	26	11	21	38	25	34	43	11	13	19	35	21	33	30	38
OTU_3197	25	9	15	29	11	28	29	22	18	53	9	11	8	24	13	22	32	17
OTU_450	49	36	36	48	28	37	72	41	24	56	12	15	20	33	30	34	46	26
OTU_701	50	21	23	23	3	18	44	13	26	33	14	15	37	51	36	13	27	15
OTU_845	443	349	316	219	118	168	373	242	284	401	188	116	287	408	312	334	368	314
OTU_881	10	7	7	15	6	11	13	8	10	18	4	6	5	9	5	8	7	10
OTU_3902	12	13	10	2	7	1	4	2	4	11	0	8	33	44	47	7	12	10
OTU_2863	13	1	4	5	1	8	12	8	3	6	2	3	0	9	0	4	5	5
OTU_3023	2	1	4	0	0	0	2	3	2	1	3	0	0	4	0	1	2	1
OTU_3352	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_258	107	97	91	109	61	123	108	54	71	183	73	52	50	103	63	120	129	123
OTU_1468	0	0	5	0	1	2	0	0	0	1	5	0	1	1	1	0	0	0
OTU_2669	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0
OTU_1694	3	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1
OTU_2554	2	5	1	0	2	1	0	2	6	4	8	1	7	3	4	5	7	4
OTU_661	1	11	3	1	10	3	3	9	13	7	4	0	1	0	1	1	2	4
OTU_969	2	7	0	1	7	1	1	16	13	6	10	1	1	0	3	4	3	3
OTU_3920	0	2	0	1	3	2	1	3	5	1	0	0	3	0	1	3	1	1
OTU_1125	0	4	0	2	0	1	0	3	3	1	2	0	1	0	0	0	2	1
OTU_707	0	0	0	10	19	0	1	0	1	5	7	0	0	0	2	3	3	3
OTU_689	0	0	0	4	11	5	0	0	0	1	2	0	0	0	0	3	2	1
OTU_1139	0	0	0	2	4	0	0	0	0	0	3	0	0	0	0	2	0	1
OTU_1374	1	3	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0
OTU_1813	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0
OTU_3255	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	2
OTU_3932	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
OTU_1627	0	2	0	0	0	0	2	6	5	0	0	0	0	1	1	0	0	0
OTU_1649	0	0	0	0	3	1	0	2	0	2	7	1	0	0	0	2	4	3
OTU_1849	0	0	0	4	4	1	0	0	0	0	2	0	0	0	0	0	2	1
OTU_2031	0	0	0	1	4	1	0	0	0	2	1	0	0	0	0	0	2	0
OTU_1654	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0
OTU_3062	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0
OTU_257	14	24	10	4	6	0	4	13	11	9	16	2	5	5	9	3	3	4
OTU_1718	9	13	7	17	9	20	16	14	19	22	14	8	10	9	8	11	14	7
OTU_274	11	44	13	12	36	13	3	24	29	21	44	4	42	24	52	25	15	31
OTU_351	2	8	1	6	15	6	7	16	11	6	17	2	7	4	5	6	13	8
OTU_357	10	33	5	11	23	24	15	35	28	31	55	13	15	12	32	25	28	30
OTU_516	2	3	4	14	12	9	5	17	16	6	19	2	1	2	3	2	4	1
OTU_517	5	8	1	4	11	10	6	8	2	7	9	1	8	2	11	10	8	12
OTU_66	118	204	77	42	63	48	115	176	194	74	82	17	58	113	104	79	65	62
OTU_75	43	45	37	62	43	68	93	75	83	103	76	25	28	36	26	54	46	56
OTU_77	76	254	63	3	19	5	30	54	73	16	40	6	273	185	400	10	7	13
OTU_267	13	29	7	3	0	1	9	18	7	3	4	1	35	17	35	1	2	1
OTU_1174	1	0	0	4	2	3	2	2	4	2	1	3	2	1	0	2	2	4
OTU_593	0	0	2	3	6	4	2	6	3	5	3	1	4	0	5	6	4	5
OTU_613	1	3	0	7	19	18	0	1	1	16	24	2	2	1	0	10	13	8
OTU_686	1	2	1	5	1	7	0	2	7	6	5	0	4	0	2	2	11	3
OTU_1155	1	1	0	1	1	1	1	1	1	0	2	0	0	1	1	1	2	5
OTU_486	0	1	0	14	21	6	1	1	4	18	19	7	0	1	0	15	15	8
OTU_279	0	0	0	17	9	14	0	3	12	15	26	3	1	0	2	19	10	8
OTU_440	0	11	1	0	1	0	2	4	6	3	4	0	8	3	9	2	0	1
OTU_499	3	3	0	22	22	6	0	0	1	13	19	3	0	0	2	13	9	16
OTU_761	0	1	1	4	2	3	5	5	7	2	1	0	0	0	1	1	0	2
OTU_1338	0	1	0	1	5	0	1	3	0	0	2	0	1	1	2	1	3	1
OTU_1714	0	3	0	2	1	2	0	1	0	3	6	1	0	1	3	0	3	2
OTU_3210	2	0	1	3	6	3	0	0	0	5	10	0	2	0	3	3	8	8
OTU_1386	0	0	0	2	3	4	0	1	2	4	3	0	1	0	0	4	1	2
OTU_395	8	16	10	0	0	0	3	11	9	0	3	0	11	6	9	0	0	1
OTU_772	0	0	1	3	11	5	0	1	1	7	7	0	0	0	0	3	2	2
OTU_1361	0	0	0	0	1	0	2	0	2	4	2	0	0	1	2	3	1	1
OTU_1942	0	0	0	1	0	0	1	0	1	1	1	1	0	0	2	1	1	4
OTU_2082	1	0	1	1	2	1	0	0	0	3	5	0	0	0	5	2	6	0
OTU_2604	2	5	1	0	0	1	0	1	3	0	1	0	2	1	2	0	0	0
OTU_910	0	0	0	2	2	2	0	4	2	4	0	0	0	2	1	0	2	3
OTU_979	2	6	0	0	2	0	3	2	1	2	1	2	0	0	0	1	0	0
OTU_1120	0	0	0	2	4	1	0	0	0	1	1	1	0	0	0	2	1	1
OTU_1205	0	0	0	3	1	0	0	2	1	2	5	0	0	0	1	1	0	2
OTU_1803	0	0	0	2	2	1	0	0	0	0	3	1	0	0	1	1	4	1
OTU_806	0	0	0	14	13	10	0	0	0	9	13	2	0	0	0	2	3	3
OTU_837	1	0	0	6	8	0	0	0	0	4	9	3	0	0	0	9	10	8
OTU_685	0	0	0	7	5	5	0	0	0	4	4	1	0	0	0	0	2	7
OTU_777	0	0	0	7	13	6	0	0	0	6	12	0	0	0	0	4	4	6
OTU_1138	0	1	0	0	3	2	0	0	0	1	3	1	0	0	0	0	0	5
OTU_1315	0	0	0	2	2	1	0	0	0	0	2	1	0	0	0	2	0	1
OTU_1349	0	0	0	2	1	0	0	0	1	3	3	0	0	0	0	1	1	0
OTU_1826	0	0	0	1	0	1	1	2	0	0	1	0	0	1	0	1	0	0
OTU_1836	0	0	0	1	2	1	0	0	0	0	2	1	0	0	0	1	2	0
OTU_2072	0	0	0	0	0	0	0	1	1	0	0	0	1	2	3	3	2	0
OTU_669	0	0	0	5	8	5	0	0	0	3	9	0	0	0	0	0	9	1
OTU_1870	0	0	0	1	2	2	0	0	0	2	2	0	0	1	0	0	0	0
OTU_1933	0	0	0	1	0	1	0	1	0	1	2	0	0	0	0	3	0	0
OTU_2173	0	0	0	2	0	0	0	0	0	1	3	0	1	0	0	1	1	0
OTU_3343	0	1	0	0	0	0	0	6	5	0	0	0	7	2	15	0	0	0
OTU_1592	0	0	0	0	0	0	0	0	0	2	2	1	0	0	2	0	1	0
OTU_1593	0	0	0	3	4	1	0	0	0	4	1	0	0	0	0	0	0	0
OTU_1818	0	0	0	2	2	0	0	0	0	3	2	0	0	0	0	0	2	0
OTU_2195	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	2	0	1
OTU_2281	0	0	0	2	2	2	0	0	0	0	2	0	0	0	0	1	0	0
OTU_3694	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	2	0	1
OTU_1932	0	0	0	3	3	2	0	0	0	0	4	0	0	0	0	0	0	0
OTU_2039	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	2
OTU_2137	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0
OTU_2750	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1
OTU_4032	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	1
OTU_1289	0	0	0	3	6	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_1535	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_1675	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2138	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0
OTU_2328	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
OTU_2343	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_2870	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	5	0	0
OTU_2874	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_3053	0	0	0	0	1	0	0	0	0	2	7	0	0	0	0	0	0	0
OTU_3446	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU_3788	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0
OTU_1783	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_1797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
OTU_2296	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0
OTU_2366	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_1510	0	0	0	3	0	3	0	0	0	2	1	1	0	0	0	0	0	1
OTU_101	54	134	39	58	93	48	47	127	143	62	93	9	77	36	92	50	70	57
OTU_118	53	56	30	25	21	26	74	95	107	40	19	6	18	13	27	20	11	23
OTU_379	4	8	9	20	21	15	6	11	19	26	32	2	7	3	2	12	15	13
OTU_749	0	10	1	4	8	1	4	9	2	10	9	1	2	2	1	2	1	2
OTU_2703	7	10	6	1	5	3	4	16	11	1	6	0	5	0	0	6	1	1
OTU_506	0	1	0	21	20	22	0	0	0	14	12	1	5	2	2	6	5	11
OTU_1008	0	1	0	8	11	6	3	1	1	6	6	1	0	0	0	0	1	1
OTU_1129	1	1	0	2	6	5	0	1	1	3	5	1	0	0	0	2	2	0
OTU_300	10	35	12	0	0	4	4	14	11	1	1	0	12	8	14	0	0	0
OTU_628	2	12	2	0	3	0	3	6	8	3	0	1	2	0	0	2	2	0
OTU_964	0	2	2	0	0	0	2	2	5	1	2	0	3	7	4	0	0	0
OTU_1385	4	10	5	0	0	0	3	9	5	0	0	0	0	0	0	0	0	0
OTU_1478	1	2	0	0	0	0	1	4	1	0	0	1	0	0	0	0	0	0
OTU_2172	2	2	2	0	0	0	0	0	3	2	0	0	2	0	0	0	0	0
OTU_1691	0	4	0	0	0	0	1	2	2	0	0	1	0	0	0	0	0	0
OTU_3825	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1
OTU_2459	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_3377	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_1434	0	1	0	0	0	0	0	4	5	1	0	0	1	0	4	0	1	1
OTU_2681	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU_4010	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_1088	24	72	26	14	29	22	23	38	35	23	15	4	10	10	12	22	13	14
OTU_447	6	17	8	4	3	2	6	8	23	12	6	2	1	5	6	1	4	2
OTU_461	6	5	2	12	8	12	6	2	3	28	13	1	2	3	6	6	2	10
OTU_564	16	29	3	4	3	2	5	34	29	6	14	3	3	3	7	0	0	2
OTU_638	18	17	18	1	1	1	4	15	9	2	8	0	2	2	3	3	0	2
OTU_406	1	3	0	7	11	6	3	2	0	5	15	5	0	0	0	5	4	8
OTU_1181	0	1	1	2	4	2	0	1	2	0	4	1	0	0	0	1	0	0
OTU_1704	0	0	0	1	2	1	0	0	0	0	1	1	0	0	0	0	1	1
OTU_2071	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU_3949	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU_1215	1	1	2	0	0	0	1	1	1	1	1	0	2	0	1	0	0	0
OTU_1328	0	0	0	0	3	2	5	5	3	5	1	0	0	0	2	1	0	0
OTU_1736	1	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0
OTU_2748	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	1	0	1
OTU_3315	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	1	2	2
OTU_2160	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	1	1
OTU_3850	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	1
OTU_2063	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	3	0
OTU_3353	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	0
OTU_3503	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
OTU_2354	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0
OTU_2673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
OTU_3014	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
OTU_2541	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
OTU_3256	1	1	1	0	0	1	0	0	1	0	0	0	1	0	6	2	2	7
OTU_2857	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	3
OTU_1263	1	0	0	0	0	0	0	0	0	0	0	8	0	0	14	1	0	0
OTU_2797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
OTU_3113	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
OTU_3229	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
OTU_3276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
OTU_3766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1
OTU_1353	0	0	0	3	0	1	0	0	2	1	1	0	0	0	0	0	2	1
OTU_1044	0	0	0	4	0	3	0	0	0	4	0	2	0	0	0	2	4	0
