Query_id	tax
total_10036431	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10036589	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10036695	k__Bacteria;p__Proteobacteria
total_10037409	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_10037428	k__Bacteria
total_10037763	k__Bacteria
total_10038013	k__Bacteria;p__Chloroflexi;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Chloroflexi_bacterium_CSP1-4
total_10038034	k__Bacteria
total_10038386	Unclassified
total_10038728	k__Bacteria
total_10040262	k__Bacteria
total_10040363	k__Bacteria
total_10041402	k__Bacteria
total_1004152	k__Bacteria
total_10042791	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10042944	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Unclassified;f__Leptospiraceae;g__Leptospira
total_10043108	k__Bacteria
total_10043355	k__Bacteria
total_10043358	k__Bacteria
total_10043417	k__Bacteria
total_10043455	k__Bacteria;p__Bacteroidetes
total_10043623	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales
total_10045024	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10045741	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10045988	k__Bacteria
total_10046159	k__Bacteria
total_1004625	Unclassified
total_1004626	k__Bacteria
total_10046370	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae
total_10046769	k__Bacteria
total_10046955	k__Bacteria;p__Firmicutes
total_10047155	k__Bacteria
total_10047156	k__Bacteria;p__Cyanobacteria;c__Unclassified
total_10047461	Unclassified
total_10047993	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Chitinophaga;s__Chitinophaga_pinensis
total_10048124	k__Bacteria
total_10048207	k__Bacteria
total_10048358	k__Bacteria
total_10048425	k__Bacteria
total_10048648	k__Bacteria
total_10048809	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10048865	k__Bacteria;p__Proteobacteria
total_10049135	k__Bacteria
total_10049136	k__Bacteria
total_10050041	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira
total_10050147	k__Bacteria;p__Bacteroidetes
total_10050477	k__Bacteria
total_10051045	k__Bacteria
total_10051047	k__Bacteria
total_10051308	k__Bacteria
total_10051483	k__Bacteria
total_10051947	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_1005216	k__Bacteria;p__Bacteroidetes
total_10052186	k__Bacteria
total_10052290	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
total_10052617	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10052747	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_1005291	k__Bacteria
total_10052963	k__Bacteria
total_10053012	k__Bacteria
total_1005398	k__Bacteria;p__Proteobacteria
total_10055	k__Bacteria
total_10055387	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10055465	k__Bacteria
total_10055611	k__Bacteria
total_1005648	k__Bacteria
total_10056499	k__Bacteria;p__Proteobacteria
total_10056853	k__Bacteria;p__Planctomycetes
total_10057479	Unclassified
total_10057569	k__Bacteria
total_10058866	k__Bacteria
total_10058868	k__Bacteria
total_10059076	Unclassified
