Query_id	tax
total_15624045	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_15624106	k__Bacteria
total_1562446	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15625283	k__Bacteria
total_15625656	k__Bacteria;p__Proteobacteria
total_15625886	k__Bacteria
total_15626426	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_15626671	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15626794	k__Bacteria
total_1562683	k__Bacteria
total_15627063	k__Bacteria
total_15627757	k__Bacteria;p__Cyanobacteria;c__Unclassified
total_15627826	Unclassified
total_15627901	k__Bacteria;p__Bacteroidetes
total_15627902	k__Bacteria;p__Bacteroidetes
total_156284	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1562842	k__Bacteria
total_15628803	Unclassified
total_15628868	k__Bacteria
total_15629516	k__Bacteria
total_15629916	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_15630329	k__Bacteria;p__Acidobacteria
total_15630366	k__Bacteria
total_15630578	k__Bacteria;p__Proteobacteria
total_15630733	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15630872	k__Bacteria;p__Bacteroidetes
total_15631419	k__Bacteria
total_15631702	k__Bacteria
total_15631731	k__Bacteria
total_15632002	k__Bacteria
total_15632134	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15632381	k__Bacteria
total_15632471	k__Bacteria;p__Proteobacteria
total_15632986	k__Bacteria
total_15633417	k__Bacteria
total_15633433	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
total_15633523	k__Bacteria
total_15633696	Unclassified
total_1563408	k__Bacteria
total_15635413	k__Bacteria
total_1563582	k__Bacteria
total_1563583	k__Bacteria;p__Proteobacteria
total_156360	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
total_15636371	k__Bacteria
total_15636678	k__Bacteria
total_15637218	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15638387	k__Bacteria
total_15638672	Unclassified
total_15638746	k__Bacteria
total_15638911	k__Bacteria
total_15638916	k__Bacteria
total_15639576	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15640735	k__Bacteria;p__Proteobacteria
total_15641097	Unclassified
total_15642156	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_15642290	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15643337	k__Bacteria
total_15643720	k__Bacteria
total_15644809	k__Bacteria
total_15645173	k__Bacteria
total_15645263	k__Bacteria
total_15646005	k__Bacteria;p__Proteobacteria
total_15646027	k__Bacteria
total_15646028	k__Bacteria;p__Cyanobacteria;c__Unclassified
total_15646033	k__Bacteria
total_15646054	k__Bacteria
total_15646204	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15646716	k__Bacteria
total_15647046	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15647165	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15647691	k__Bacteria
total_15647796	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_15647817	k__Bacteria;p__Bacteroidetes
total_15648348	k__Bacteria
total_15648507	k__Bacteria
total_1564858	k__Bacteria
total_15648634	k__Bacteria
total_15648657	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_15648961	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_15649012	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15649535	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15649957	k__Bacteria
total_15649959	k__Bacteria
total_15650086	k__Bacteria
total_1565013	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_1565019	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_15651665	k__Bacteria
total_1565194	k__Bacteria
total_1565224	k__Bacteria
total_1565225	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15652291	k__Bacteria
total_15652527	k__Bacteria
total_15653119	k__Bacteria
total_1565433	k__Bacteria;p__Firmicutes
total_15654449	Unclassified
total_1565461	k__Bacteria
total_15654645	k__Bacteria
total_15654646	k__Bacteria
total_1565510	k__Bacteria
total_15655184	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_15655848	k__Bacteria
total_15656837	k__Bacteria;p__Bacteroidetes
total_1565691	k__Bacteria
total_15657124	k__Bacteria
total_15657469	k__Bacteria
total_1565750	k__Bacteria;p__Cyanobacteria;c__Unclassified
total_15657539	k__Bacteria
total_1565756	k__Bacteria
total_15657799	k__Bacteria
total_15658185	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_15658429	k__Bacteria
total_15659474	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15659493	k__Bacteria
total_15659850	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Dongia;s__Dongia_sp._URHE0060
total_15659888	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae
total_15660074	Unclassified
total_15660161	k__Bacteria
total_15661415	k__Bacteria
total_15661426	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae
total_15661808	k__Bacteria
total_15662343	k__Bacteria
total_15662934	Unclassified
total_1566296	k__Bacteria
total_15663091	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_15663516	k__Bacteria
total_15663633	k__Bacteria
total_15663764	k__Bacteria
total_15663892	k__Bacteria
total_15664533	k__Bacteria
total_15664932	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae
total_15665525	k__Bacteria
total_15666131	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
total_15666611	k__Bacteria;p__Bacteroidetes
total_15666791	k__Bacteria
total_15667215	k__Bacteria
total_15667450	k__Bacteria
total_15667820	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15668145	k__Bacteria
total_1566878	k__Bacteria
total_15668919	k__Bacteria
total_15669215	k__Bacteria;p__Proteobacteria
total_15669681	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15669688	k__Bacteria
total_1566989	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15670002	Unclassified
total_15670788	k__Bacteria
total_15670789	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales
total_15671014	k__Bacteria
total_15671061	k__Bacteria;p__Actinobacteria
total_15671693	k__Bacteria;p__Proteobacteria
total_15671695	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15672231	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15672325	k__Bacteria
total_15672505	k__Bacteria
total_15672796	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales
total_15672867	k__Bacteria;p__Firmicutes;c__Bacilli
total_15673169	k__Bacteria;p__Proteobacteria
total_15673268	k__Bacteria;p__Proteobacteria
total_1567353	k__Bacteria
total_15673682	Unclassified
total_15674177	k__Bacteria
total_1567433	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15674390	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15674494	k__Bacteria;p__Proteobacteria
total_15674621	k__Bacteria
total_15674761	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_15675114	k__Bacteria
total_15678216	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_15678487	k__Bacteria
total_15678503	k__Bacteria
total_15679182	Unclassified
total_15679578	k__Bacteria;p__Actinobacteria
total_15679825	k__Bacteria
total_15680086	k__Bacteria
total_15680427	k__Bacteria
total_15680823	Unclassified
total_15680863	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15681276	k__Bacteria
total_15681280	Unclassified
total_15681404	k__Bacteria
total_15681461	k__Bacteria
total_1568185	k__Bacteria
total_15682240	k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae;g__Holophaga;s__Holophaga_foetida
total_15682731	k__Bacteria
total_15682732	k__Bacteria
total_15682751	k__Bacteria
total_15682755	Unclassified
total_156828	Unclassified
total_1568338	k__Bacteria;p__Proteobacteria
total_15684115	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15684214	Unclassified
total_1568433	k__Bacteria
total_15685333	k__Bacteria
total_15685335	k__Bacteria
total_15685662	k__Bacteria
total_15685673	k__Bacteria
total_15685879	k__Bacteria
total_15686217	k__Bacteria
total_15688491	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1568874	k__Bacteria
total_1568950	k__Bacteria
total_15689534	Unclassified
total_15689826	k__Bacteria
total_15690589	k__Bacteria
total_15690790	Unclassified
total_15691252	k__Bacteria;p__Bacteroidetes
total_15693224	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15693863	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15694172	k__Bacteria
total_15694841	k__Bacteria;p__Proteobacteria
total_15695969	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
total_15696815	k__Bacteria;p__Proteobacteria
total_15697214	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_1569775	Unclassified
total_15698312	k__Bacteria
total_15698390	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Zavarzinella;s__Zavarzinella_formosa
total_15698459	k__Bacteria
total_15698501	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15699251	Unclassified
total_15699481	k__Bacteria
total_15699850	k__Bacteria
total_15700695	k__Bacteria
total_15700811	k__Bacteria
total_15700918	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
total_1570146	k__Bacteria
total_15701698	k__Bacteria
total_157028	k__Bacteria;p__Bacteroidetes
total_15703210	k__Bacteria;p__Bacteroidetes
total_15703632	k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Unclassified;f__Unclassified;g__Pyrinomonas;s__Pyrinomonas_methylaliphatogenes
total_1570368	k__Bacteria
total_15703683	k__Bacteria
total_15704638	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1570502	k__Bacteria
total_15705415	k__Bacteria;p__Proteobacteria
total_15705546	k__Bacteria
total_15705714	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15706145	k__Bacteria
total_15706147	k__Bacteria
total_1570662	k__Bacteria
total_15707508	k__Bacteria
total_15707516	Unclassified
total_15708634	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae
total_15708984	k__Bacteria
total_15709615	k__Bacteria
total_15709637	k__Bacteria
total_15709931	k__Bacteria
total_15709963	k__Bacteria
total_15710781	k__Bacteria
total_15710883	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_15711164	k__Bacteria
total_1571135	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__Gemmatirosa_kalamazoonesis
total_15711802	k__Bacteria
total_15712520	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_15713390	Unclassified
total_1571415	Unclassified
total_15714255	k__Bacteria
total_15714385	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
total_15715020	k__Bacteria
total_15715130	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15715559	k__Bacteria
total_15715631	k__Bacteria
total_15715961	k__Bacteria
total_1571604	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15716269	k__Bacteria
total_15716525	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia_muciniphila
total_15716568	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15716895	k__Bacteria;p__Proteobacteria
total_15717	k__Bacteria
total_15717253	Unclassified
total_15717460	k__Bacteria
total_15717937	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15718916	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15718953	k__Bacteria
total_15719353	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_1572009	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15720112	k__Bacteria
total_15720176	k__Bacteria
total_15720738	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15721007	Unclassified
total_1572160	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas_sp._URHD0057
total_15721855	k__Bacteria
total_15722087	k__Bacteria;p__Bacteroidetes
total_15723020	k__Bacteria
total_15723661	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15724284	Unclassified
total_15724644	k__Bacteria;p__Acidobacteria
total_15724646	Unclassified
total_15724647	k__Bacteria
total_15724782	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Niabella;s__Niabella_aurantiaca
total_1572489	k__Bacteria
total_15726371	Unclassified
total_15726900	k__Bacteria
total_1572706	k__Bacteria
total_15727372	k__Bacteria;p__Bacteroidetes
total_15727797	k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales
total_15728824	k__Bacteria
total_15728934	k__Bacteria
total_15729113	k__Bacteria
total_15729508	k__Bacteria
total_15729637	k__Bacteria
total_15730821	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15730919	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_1573193	k__Bacteria
total_15732202	k__Bacteria;p__Proteobacteria
total_15732891	k__Bacteria;p__Proteobacteria
total_15733157	k__Bacteria
total_15733451	k__Bacteria
total_15733764	k__Bacteria;p__Bacteroidetes
total_15734602	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae
total_15735247	k__Bacteria
total_1573531	k__Bacteria
total_1573535	k__Bacteria
total_15735398	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_15735423	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1573554	k__Bacteria;p__Acidobacteria;c__Unclassified;o__Unclassified;f__Unclassified;g__Thermoanaerobaculum;s__Thermoanaerobaculum_aquaticum
total_1573555	k__Bacteria
total_15736315	k__Bacteria
total_1573664	k__Bacteria
total_15737773	k__Bacteria
total_15738023	k__Bacteria
total_15738112	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__Gemmatirosa_kalamazoonesis
total_15738168	k__Bacteria
total_15738508	k__Bacteria
total_15738675	k__Bacteria
total_1573868	k__Bacteria
total_15739561	k__Bacteria
total_15739614	k__Bacteria
total_15739648	k__Bacteria
total_15740283	Unclassified
total_15740728	k__Bacteria
total_15740735	Unclassified
total_157412	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae
total_15741302	k__Bacteria
total_15741363	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_15741384	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15742702	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15742826	k__Bacteria;p__Bacteroidetes
total_15743338	k__Bacteria
total_15743510	k__Bacteria
total_15743606	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae;g__Sandaracinus;s__Sandaracinus_amylolyticus
total_15744261	k__Bacteria
total_1574437	k__Bacteria;p__Proteobacteria
total_15744886	k__Bacteria
total_15744887	k__Bacteria
total_15745324	k__Bacteria;p__Proteobacteria
total_15745410	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1574592	k__Bacteria
total_15745952	k__Bacteria
total_15746052	k__Bacteria
total_1574621	k__Bacteria
total_15747966	k__Bacteria
total_15748112	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_15748298	Unclassified
total_15748973	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_1574918	k__Bacteria;p__Proteobacteria
total_15749218	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15749856	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_15749901	Unclassified
total_15750383	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_15750496	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_157506	Unclassified
total_15751657	k__Bacteria
total_15751662	k__Bacteria
total_15751708	k__Bacteria
total_157529	k__Bacteria
total_1575367	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas_sp._Root1279
total_15754046	k__Bacteria
total_15755297	k__Bacteria
total_15756034	k__Bacteria
total_15756504	k__Bacteria
total_15756663	k__Bacteria
total_15757059	k__Bacteria
total_15757172	k__Bacteria
total_15758209	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15759379	k__Bacteria
total_15759437	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15759571	k__Bacteria
total_15759951	k__Bacteria
total_15760005	k__Bacteria
total_1576021	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_15760928	k__Bacteria
total_15760935	k__Bacteria
total_15761365	k__Bacteria
total_15761593	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15761654	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_15762132	Unclassified
total_15762409	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15762497	k__Bacteria
total_15762767	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter_segnis
total_15763839	k__Bacteria;p__Proteobacteria
total_15764444	k__Bacteria
total_15765499	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15765953	k__Bacteria
total_15766322	k__Bacteria
total_15766986	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_157675	k__Bacteria
total_15767683	k__Bacteria
total_15767996	k__Bacteria
total_157680	k__Bacteria
total_15768130	k__Bacteria
total_15768500	k__Bacteria
total_15768738	k__Bacteria
total_15769908	k__Bacteria
total_15769937	k__Bacteria
total_1577049	k__Bacteria
total_15770620	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_15770763	k__Bacteria
total_15770895	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces
total_157710	k__Bacteria
total_15771109	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia_pseudomallei
total_15771850	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15772300	k__Bacteria;p__Proteobacteria
total_15772437	k__Bacteria
total_15774289	Unclassified
total_15774578	k__Bacteria
total_15774780	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales
total_15776700	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_15776711	k__Bacteria
total_15776891	k__Bacteria;p__candidate_division_NC10;c__Unclassified;o__Unclassified;f__Unclassified;g__Candidatus_Methylomirabilis;s__Candidatus_Methylomirabilis_oxyfera
total_1577702	Unclassified
total_15777112	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_15777880	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1577818	k__Bacteria;p__Bacteroidetes
total_1577819	k__Bacteria;p__Bacteroidetes
total_15778439	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15779287	k__Bacteria
total_15780444	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15780445	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales
total_15780459	k__Bacteria
total_15780900	k__Bacteria;p__Bacteroidetes
total_15781657	k__Bacteria;p__Bacteroidetes
total_15782306	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15782938	Unclassified
total_15783598	k__Bacteria
total_15783932	k__Bacteria;p__Proteobacteria
total_157841	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_15784302	k__Bacteria
total_15784305	k__Bacteria
total_15784807	k__Bacteria
total_15785658	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15785677	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_15785712	k__Bacteria;p__Proteobacteria
total_15785714	k__Bacteria
total_15785813	k__Bacteria
total_15786540	k__Bacteria
total_15786940	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_15787818	k__Bacteria
total_15787819	k__Bacteria
total_15787820	k__Bacteria
total_15787871	k__Bacteria
total_15787897	k__Bacteria;p__Planctomycetes
total_15789135	Unclassified
total_15789328	k__Bacteria
total_1578951	k__Bacteria
total_15789775	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Unclassified;g__Methyloceanibacter;s__Methyloceanibacter_caenitepidi
total_15789859	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_15790728	k__Bacteria
total_15790839	k__Bacteria;p__Proteobacteria
total_15790923	k__Bacteria
total_15791485	k__Bacteria
total_1579150	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_1579161	k__Bacteria
total_15791780	k__Bacteria;p__Proteobacteria
total_15791786	k__Bacteria
total_15792028	k__Bacteria;p__Bacteroidetes
total_15792204	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_15792377	k__Bacteria
total_15792468	k__Bacteria
total_15792578	k__Bacteria
total_15792865	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Jiangellales;f__Jiangellaceae;g__Jiangella;s__Jiangella_alkaliphila
total_15792870	k__Bacteria
total_15793545	k__Bacteria
total_15794565	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15795953	k__Bacteria
total_1579601	k__Bacteria
total_15796022	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_15796023	k__Bacteria
total_15796587	k__Bacteria
total_15797009	k__Bacteria;p__Proteobacteria
total_15797129	Unclassified
total_15797477	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Unclassified;f__Unclassified;g__Candidatus_Accumulibacter;s__Candidatus_Accumulibacter_sp._BA-93
total_15797742	k__Bacteria
total_15798280	k__Bacteria;p__Proteobacteria
total_15798372	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_15798602	k__Bacteria
total_15799925	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_15800128	k__Bacteria
total_15800260	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_15800281	k__Bacteria
total_1580111	k__Bacteria
total_15801164	k__Bacteria
total_1580166	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_158017	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15802593	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15802692	Unclassified
total_15803251	k__Bacteria
total_15803957	k__Bacteria
total_1580402	k__Bacteria
total_15804115	k__Bacteria;p__Proteobacteria
total_15804702	k__Bacteria
total_1580479	k__Bacteria
total_1580480	k__Bacteria
total_15804858	k__Bacteria
total_15804903	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_15805575	k__Bacteria
total_15806139	k__Bacteria;p__Proteobacteria
total_1580618	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_15806238	k__Bacteria
total_15806374	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_15807002	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_15807028	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae
total_15807279	Unclassified
total_15807723	k__Bacteria
total_15808681	k__Bacteria
total_1580893	k__Bacteria
total_15809295	k__Bacteria
total_15809575	k__Bacteria
total_15810259	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1581123	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_15811288	k__Bacteria
total_15811626	k__Bacteria
total_15811627	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__Opitutus_terrae
total_15811782	k__Bacteria;p__Aquificae;c__Aquificae;o__Aquificales;f__Hydrogenothermaceae;g__Sulfurihydrogenibium
total_1581198	k__Bacteria
total_15812086	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_15812169	k__Bacteria
total_15812557	k__Bacteria
